Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00103313928053411,0.000382585123602887,-0.0864613171896089,0,0,0,1.84951140169722,0.00320766832900481,2.78292989354602E-05,1.03805875309157E-05,0.00259257440658102,-0.000239711733738978,0.00273340858466264,0,0,0,0,0,0,package://LRS-XURDF0210QJ/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://LRS-XURDF0210QJ/meshes/base_link.STL,,Base_link1-1,waist_yaw_origin,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
waist_yaw_link,-0.0150608558695369,-3.63577995918256E-05,0.0207428887012425,0,0,0,0.269139498299852,4.65755921040744E-05,-8.05957546757638E-08,1.53604373414798E-07,0.00010709625321309,-4.8167907327744E-08,0.000126468612378352,0,0,0,0,0,0,package://LRS-XURDF0210QJ/meshes/waist_yaw_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://LRS-XURDF0210QJ/meshes/waist_yaw_link.STL,,waist_yaw_part1-1,waist_yaw_origin,waist_yaw_axis,waist_yaw_joint,revolute,0,0,0,0,0,0,base_link,0,0,1,0,0,-2.71,2.71,,,,,,,,
waist_roll_link,-3.23411694126696E-10,3.9513500816167E-10,3.19189119579733E-14,0,0,0,0.0507194719976895,3.46028757120937E-06,1.27075712039539E-18,-8.98411989868371E-14,3.10425397708585E-06,-8.12834850768051E-14,4.49914976629992E-06,0,0,0,0,0,0,package://LRS-XURDF0210QJ/meshes/waist_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://LRS-XURDF0210QJ/meshes/waist_roll_link.STL,,waist_roll_part1-1,waist_pitchroll_origin,waist_roll_axis,waist_roll_joint,revolute,0,-1.9533E-05,0.041,0,0,0,waist_yaw_link,1,0,0,0,0,-0.52,0.52,,,,,,,,
waist_pitch_link,0.00313523212585142,0.000323891307585571,0.147559253095566,0,0,0,3.26206572740534,0.01554882786498,5.63571055244528E-06,0.000588526901157381,0.0102809802550721,-6.20232720113437E-06,0.00867803340062138,0,0,0,0,0,0,package://LRS-XURDF0210QJ/meshes/waist_pitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://LRS-XURDF0210QJ/meshes/waist_pitch_link.STL,,waist_pitch_part1-1,waist_pitchroll_origin,waist_pitch_axis,waist_pitch_joint,revolute,0,0,0,0,0,0,waist_roll_link,0,-1,0,0,0,-0.79,0.79,,,,,,,,
head_link,0.00646860726322579,8.67720541198985E-05,0.0845568940738201,0,0,0,0.763248912764825,0.000978207276071796,9.93647401450458E-08,0.000141854104006549,0.00104865788563718,-8.90398816406863E-08,0.00115837604716425,0,0,0,0,0,0,package://LRS-XURDF0210QJ/meshes/head_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://LRS-XURDF0210QJ/meshes/head_link.STL,,Head_part1-1,head_origin,head_axis,head_joint,revolute,-0.001747,0,0.28638,0,0,0,waist_pitch_link,0,0,-1,0,0,-1.57,1.57,,,,,,,,
left_hand_pitch_link,-0.000236046960282382,0.036844772700245,-0.00872045845212858,0,0,0,0.169544326016833,9.60905832666044E-05,5.672486113752E-07,-7.61525849364579E-07,7.03805632417765E-05,6.49910346043646E-06,8.46413908721063E-05,0,0,0,0,0,0,package://LRS-XURDF0210QJ/meshes/left_hand_pitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://LRS-XURDF0210QJ/meshes/left_hand_pitch_link.STL,,left_handpitch_part-0122-1,left_handpitch_origin,left_handpitch_axis,left_hand_pitch_joint,revolute,-1.4518E-05,0.1136,0.22528,0,0,0,waist_pitch_link,0,-1,0,0,0,-3.05,2.62,,,,,,,,
left_hand_roll_link,-0.0242086302869495,0.00140514863551233,-0.0493865307783264,0,0,0,0.311588140479655,0.000398007867883085,2.07640149535119E-07,-1.40434162197706E-05,0.000319455051006881,-2.66505985435514E-06,0.000156089455108468,0,0,0,0,0,0,package://LRS-XURDF0210QJ/meshes/left_hand_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://LRS-XURDF0210QJ/meshes/left_hand_roll_link.STL,,left_handroll_part1-0122-1,left_handroll_origin,left_handroll_axis,left_hand_roll_joint,revolute,0.027515,0.044,-0.012014,0,0,0,left_hand_pitch_link,-1,0,0,0,0,-0.35,2.18,,,,,,,,
left_hand_yaw_link,0.00480512140049318,0.000273766830822531,-0.0723525364869183,0,0,0,0.270043436566978,0.000360711085520092,-7.0207617956171E-08,3.39183943740952E-05,0.000362706879730224,2.25071221964758E-07,0.000116345066997288,0,0,0,0,0,0,package://LRS-XURDF0210QJ/meshes/left_hand_yaw_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://LRS-XURDF0210QJ/meshes/left_hand_yaw_link.STL,,left_handelyaw_part1-0122-1,left_handyaw_origin,left_handyaw_axis,left_hand_yaw_joint,revolute,-0.0275,-1.4394E-05,-0.10459,0,0,0,left_hand_roll_link,0,0,1,0,0,-2.62,2.62,,,,,,,,
left_hand_elbow_link,-0.00874450304867024,-0.0209557821470273,-0.0478575658711924,0,0,0,0.293553040604967,0.000369936467818705,-1.91287936798576E-06,-3.76176766367328E-05,0.000464825010348334,-1.38525056759215E-05,0.000167069920312018,0,0,0,0,0,0,package://LRS-XURDF0210QJ/meshes/left_hand_elbow_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://LRS-XURDF0210QJ/meshes/left_hand_elbow_link.STL,,left_handelbow_part1-0122-2,left_handelbow_origin,left_handelbow_axis,left_hand_elbow_joint,revolute,0.011985,0.027515,-0.1057,0,0,0,left_hand_yaw_link,0,-1,0,0,0,-2.62,0.52,,,,,,,,
left_hand_wrist_link,0.00340813906670889,-0.00424662907079065,-0.107952651490944,0,0,0,0.414939539733624,0.000563099383400401,2.74777555048515E-05,4.52479904571402E-07,0.000581394009598213,-4.9621402747987E-05,0.000240514201077646,0,0,0,0,0,0,package://LRS-XURDF0210QJ/meshes/left_hand_wrist_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://LRS-XURDF0210QJ/meshes/left_hand_wrist_link.STL,,left_handwrist_part1-0122-1,left_handwrist_origin,left_handwrist_axis,left_hand_wrist_joint,revolute,-0.012,-0.0275,-0.1097,0,0,0,left_hand_elbow_link,0,0,1,0,0,-2.62,2.62,,,,,,,,
